game_date,pitcher,batter,pitch_type,release_speed,release_spin_rate,pfx_x,pfx_z,plate_x,plate_z,balls,strikes,outs_when_up,inning,inning_topbot,on_1b,on_2b,on_3b,bat_score,fld_score,stand,p_throws,home_team,away_team,at_bat_number,pitch_number
2025-10-05,667297,641355,CU,84.7,3211,1.21,-1.17,-1.0678263587357526,3.3811596763990703,0,0,1,7,Top,592450,663757,502671,3,13,L,R,TOR,NYY,64,1
2025-10-05,667297,592450,SI,94.6,2377,-1.18,1.05,-1.0336602916484776,2.987305263889705,1,1,1,7,Top,663757,502671,641857,2,13,R,R,TOR,NYY,63,3
2025-10-05,667297,592450,CU,84.9,2958,0.91,-1.08,-1.1630299239978628,3.0358773981464853,0,1,1,7,Top,663757,502671,641857,2,13,R,R,TOR,NYY,63,2
2025-10-05,667297,592450,SL,89.9,2877,-0.01,0.34,0.7156972798204342,2.431901657481743,0,0,1,7,Top,663757,502671,641857,2,13,R,R,TOR,NYY,63,1
2025-10-05,641778,663757,FF,94.4,2361,0.59,1.25,-0.1739588478686435,2.459313509327866,1,2,1,7,Top,502671,641857,,2,13,L,L,TOR,NYY,62,4
2025-10-05,641778,663757,SL,85.1,2147,-0.23,0.32,0.3729469450105786,2.3514584705096224,1,1,1,7,Top,502671,641857,,2,13,L,L,TOR,NYY,62,3
2025-10-05,641778,663757,FF,92.7,2249,0.71,1.18,-0.2132826252367198,2.8562962117816504,1,0,1,7,Top,502671,641857,,2,13,L,L,TOR,NYY,62,2
2025-10-05,641778,663757,SL,84.9,2097,-0.28,0.26,0.6983103971778846,3.538148020107236,0,0,1,7,Top,502671,641857,,2,13,L,L,TOR,NYY,62,1
2025-10-05,641778,502671,CU,76.6,2420,-0.91,-0.75,0.3915737384368863,2.0103930331807556,2,1,1,7,Top,641857,,,2,13,R,L,TOR,NYY,61,4
2025-10-05,641778,502671,FC,87.9,2446,-0.27,0.73,-0.1353107941520974,1.044934170900934,1,1,1,7,Top,641857,,,2,13,R,L,TOR,NYY,61,3
2025-10-05,641778,502671,FC,88.5,2350,-0.07,0.51,-1.9523342532589625,2.1502006508915685,0,1,1,7,Top,641857,,,2,13,R,L,TOR,NYY,61,2
2025-10-05,641778,502671,FF,93.0,2196,0.72,1.2,-0.7943951991692938,2.5025671943174914,0,0,1,7,Top,641857,,,2,13,R,L,TOR,NYY,61,1
2025-10-05,641778,683011,SL,85.2,2046,-0.08,0.22,0.0071705215387127,1.4991394433849037,1,2,0,7,Top,641857,,,2,13,R,L,TOR,NYY,60,5
2025-10-05,641778,683011,FF,93.5,2334,0.67,1.13,0.356011196112637,3.3005028152466074,1,2,0,7,Top,641857,,,2,13,R,L,TOR,NYY,60,4
2025-10-05,641778,683011,FC,87.3,2520,-0.43,0.53,-1.0544639514301406,2.5859719859716535,1,1,0,7,Top,641857,,,2,13,R,L,TOR,NYY,60,3
2025-10-05,641778,683011,CU,75.5,2546,-0.97,-0.92,-1.2133761826811822,1.6189860173541133,0,1,0,7,Top,641857,,,2,13,R,L,TOR,NYY,60,2
2025-10-05,641778,683011,CU,75.4,2491,-0.94,-1.0,-0.0384053018712701,2.2415459720801536,0,0,0,7,Top,641857,,,2,13,R,L,TOR,NYY,60,1
2025-10-05,641778,641857,SL,83.4,2235,-0.33,0.1,0.163216743773043,2.2047212867119272,1,1,0,7,Top,,,,2,13,L,L,TOR,NYY,59,3
2025-10-05,641778,641857,FF,93.1,2253,0.61,1.15,-1.0238391894125838,2.697338621375036,0,1,0,7,Top,,,,2,13,L,L,TOR,NYY,59,2
2025-10-05,641778,641857,FF,91.8,2225,0.65,1.08,-0.1752466849469008,1.7525833467979235,0,0,0,7,Top,,,,2,13,L,L,TOR,NYY,59,1
2025-10-05,701542,643396,SI,93.7,2270,-1.44,0.21,0.6312594652009118,2.942474320463314,2,2,2,6,Bot,676391,,,13,2,R,R,TOR,NYY,58,7
2025-10-05,701542,643396,ST,82.6,2837,1.16,-0.11,1.408558687185188,1.0351019040972442,1,2,2,6,Bot,676391,,,13,2,R,R,TOR,NYY,58,6
2025-10-05,701542,643396,CU,81.2,2919,1.01,-0.92,0.2403256686250354,1.444576419641288,1,2,2,6,Bot,676391,,,13,2,R,R,TOR,NYY,58,5
2025-10-05,701542,643396,FF,92.4,2591,-0.54,1.15,0.158047171078169,3.043578838120423,1,2,2,6,Bot,676391,,,13,2,R,R,TOR,NYY,58,4
2025-10-05,701542,643396,SI,94.2,2390,-1.3,0.64,-0.0842800728234391,1.0359692912636378,0,2,2,6,Bot,676391,,,13,2,R,R,TOR,NYY,58,3
2025-10-05,701542,643396,FF,92.4,2471,-0.43,1.06,0.787510618768811,3.1321191979792125,0,1,2,6,Bot,676391,,,13,2,R,R,TOR,NYY,58,2
